Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Variant Image,Variant Weight Unit,Compare At Price / International,Status
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,VL650Bu Vance Leathers' Ladies Premium Soft Lightweight Burgundy Fitted Leather Jacket,"<h3></h3>
<h1>Vance Leathers' Ladies Premium Soft Lightweight Burgandy Fitted Leather Jacket</h1>
<h2>Features:</h2>
<p>✅ 100% Premium Lambskin LEATHER: is made of 100% Lambskin Leather to provide our community with the best leather quality. With its elaborate design, exquisite workmanship, and high-quality Premium leather, Vance Leather provides men with more functional and fashionable jackets.</p>
<p><span data-mce-fragment=""1"">✅ </span>MODERN DESIGN: This women’s jacket is a perfectly cool and modern piece of rock, perfect for everyday use, fashionable, and for commuters or riders who stick to the roads. Team them with jeans for an eye-catching look.</p>
<p>✅ AFFORDABLE QUALITY: We manufacture our jackets with the highest quality materials at an affordable price. Try our jackets without worry because you will notice the quality of workmanship and ride in style.</p>
<p>✅FUNCTIONAL &amp; COMFORTABLE: Comfort and style are assured by a full, euro collar, zip-up front closure, and clean, plain waxed leather look. It is a durable, fashioned jacket for Women and provides style—a lightweight Jacket that is great all year round and perfect for all riders and bikers.</p>
<p> </p>
<p><img alt="""" src=""//cdn.shopify.com/s/files/1/1128/6432/files/womansize_large.jpg?v=1479486146""></p>
<div class=""__sc-features-section"">
<div class=""row"">
<div class=""col col-sm-8 section"">
<div class=""features""></div>
</div>
</div>
<div style=""text-align: center;"">
<center></center>
<table style=""border-collapse: collapse; width: 350px;"" border=""1"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td style=""background-color: #000000; width: 348px; height: 31px;"" colspan=""2"" align=""center""><strong> <span style=""font-family: Verdana; font-size: 13px; color: #ffffff;"">Size Chart</span></strong></td>
</tr>
<tr>
<td style=""background-color: #c0c0c0; width: 174px; height: 31px;"" align=""center""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Size</span></strong></td>
<td style=""background-color: #c0c0c0; width: 174px; height: 31px;"" align=""center""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Chest</span></strong></td>
</tr>
<tr>
<td style=""width: 174px; height: 31px;"" align=""center""><span style=""font-family: Verdana;"" face=""Verdana""><span style=""font-size: 13px;"">XS</span></span></td>
<td style=""width: 174px; height: 31px;"" align=""center""><span face=""Verdana"" style=""font-family: Verdana;"" data-mce-style=""font-family: Verdana;""><span style=""font-size: 13px;"">36</span></span></td>
</tr>
<tr>
<td style=""width: 174px; height: 31px;"" align=""center""><span style=""font-family: Verdana;"" face=""Verdana""><span style=""font-size: 13px;"">S</span></span></td>
<td style=""width: 174px; height: 31px;"" align=""center""><span style=""font-family: Verdana;"" face=""Verdana""><span style=""font-size: 13px;"">38</span></span></td>
</tr>
<tr>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana;"" face=""Verdana""><span style=""font-size: 13px;"">M</span></span></td>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana; font-size: 13px;"">40</span></td>
</tr>
<tr>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana; font-size: 13px;"">L</span></td>
<td style=""width: 174px; height: 32px;"" align=""center"">42</td>
</tr>
<tr>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana; font-size: 13px;"">XL</span></td>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana;"" face=""Verdana""><span style=""font-size: 13px;"">44</span></span></td>
</tr>
<tr>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana; font-size: 13px;"">2XL</span></td>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana;"" face=""Verdana""><span style=""font-size: 13px;"">47</span></span></td>
</tr>
<tr>
<td style=""width: 174px; height: 32px;"" align=""center""><span style=""font-family: Verdana; font-size: 13px;"">3XL</span></td>
<td style=""width: 174px; height: 32px;"" align=""center"">50</td>
</tr>
</tbody>
</table>
</div>
</div>",Vance Leather,,Jackets,"New Arrivals, women's jackets, women's leather jackets",TRUE,Size,XS,,,,,VL650Bu XS,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/1_e94bf0b7-9ba6-4451-af05-881283fe09f3.jpg?v=1671133772,1,,FALSE,,,lb,,active
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,S,,,,,VL650Bu S,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/2_ac9a26cd-c857-4367-8249-e346d9a97903.jpg?v=1671133772,2,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,M,,,,,VL650Bu M,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/3_48ee46c9-3fba-4d27-bb4a-1fc479a0ee9b.jpg?v=1671133773,3,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,L,,,,,VL650Bu L,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/4_337375fa-2202-44e5-b7ea-2eef81ec2dd3.jpg?v=1671133773,4,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,XL,,,,,VL650Bu XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/5_696b5414-3811-43f7-9a4a-b59cadf75fda.jpg?v=1671133773,5,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,2XL,,,,,VL650Bu 2XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/6_c9d387de-88fb-46ba-a5f4-8ae1560dad97.jpg?v=1671133773,6,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,3XL,,,,,VL650Bu 3XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/size_a2c3162b-28c6-43d2-bc7c-1a4cf23b93d1.png?v=1671133773,7,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,4XL,,,,,VL650Bu 4XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/Vance-Leather-_1200x1200_ef9dd244-7144-4637-b04b-c774e3d93c7a.jpg?v=1671133773,8,,,,,lb,,
vl650bu-vance-leathers-ladies-premium-soft-lightweight-burgundy-fitted-leather-jacket,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1128/6432/products/teammtrcycl17-12-2022infographic.jpg?v=1673865850,9,VL650Bu Vance Leathers' Ladies Premium Soft Lightweight Burgundy Fitted Leather Jacket infographic,,,,,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,VL650Br Vance Leathers' Ladies Premium Soft Lightweight Brown Fitted Leather Jacket,"<h3></h3>
<h1>Vance Leathers' Ladies Premium Soft Lightweight Brown Fitted Leather Jacket</h1>
<h2>Features:</h2>
<p>✅ 100% Premium Lambskin LEATHER: is made of 100% Lambskin Leather to provide our community the best quality of leather. With its elaborate design, exquisite workmanship, and high-quality Premium leather, Vance Leather provides men with more functional and fashionable jackets.</p>
<p><span data-mce-fragment=""1"">✅ </span>MODERN DESIGN: This women’s jacket is a perfectly cool and modern piece of rock, perfect for every day use, fashionable, and for commuters or riders who stick to the roads. Team them with jeans for an eye-catching look.</p>
<p>✅ AFFORDABLE QUALITY: We manufacture our jackets with the highest quality materials at an affordable price. Try our jackets without worry because you will notice the quality of workmanship and ride in style.</p>
<p>✅FUNCTIONAL &amp; COMFORTABLE: Comfort and style are assured by a full, euro collar, zip-up front closure, and clean, plain waxed leather look. It is a durable, fashioned jacket for Women and provides style—a lightweight Jacket that is great all year round and perfect for all riders and bikers.</p>
<p> </p>
<p><img src=""//cdn.shopify.com/s/files/1/1128/6432/files/womansize_large.jpg?v=1479486146"" alt=""""></p>
<div class=""__sc-features-section"">
<div class=""row"">
<div class=""col col-sm-8 section"">
<div class=""features""></div>
</div>
</div>
<div style=""text-align: center;"">
<center></center>
<table cellpadding=""0"" cellspacing=""0"" border=""1"" style=""border-collapse: collapse; width: 350px;"">
<tbody>
<tr>
<td align=""center"" colspan=""2"" style=""background-color: #000000; width: 348px; height: 31px;""><strong> <span style=""font-family: Verdana; font-size: 13px; color: #ffffff;"">Size Chart</span></strong></td>
</tr>
<tr>
<td align=""center"" style=""background-color: #c0c0c0; width: 174px; height: 31px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Size</span></strong></td>
<td align=""center"" style=""background-color: #c0c0c0; width: 174px; height: 31px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Chest</span></strong></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 31px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">XS</span></span></td>
<td align=""center"" style=""width: 174px; height: 31px;""><span style=""font-family: Verdana;"" face=""Verdana"" data-mce-style=""font-family: Verdana;""><span style=""font-size: 13px;"">36</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 31px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">S</span></span></td>
<td align=""center"" style=""width: 174px; height: 31px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">38</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">M</span></span></td>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">40</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">L</span></td>
<td align=""center"" style=""width: 174px; height: 32px;"">42</td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">XL</span></td>
<td align=""center"" style=""width: 174px; height: 32px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">44</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">2XL</span></td>
<td align=""center"" style=""width: 174px; height: 32px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">47</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">3XL</span></td>
<td align=""center"" style=""width: 174px; height: 32px;"">50</td>
</tr>
</tbody>
</table>
</div>
</div>",Vance Leather,,Jackets,"New Arrivals, women's jackets, women's leather jackets",TRUE,Size,XS,,,,,VL650Br XS,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/1_046919fb-5a5f-42db-8bdf-9ef981ef1ce0.jpg?v=1671133251,1,,FALSE,,,lb,,active
